,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,distance
157,52.0,1490.0,238.0,634.0,256.0,6.0302,287300.0,NEAR BAY,203.8421722663407
158,52.0,2814.0,365.0,878.0,352.0,7.508,348700.0,NEAR BAY,203.00587070608276
159,52.0,2093.0,550.0,918.0,483.0,2.7477,243800.0,NEAR BAY,203.8421722663407
160,52.0,888.0,168.0,360.0,175.0,2.1944,211500.0,NEAR BAY,203.5052209806242
161,52.0,2087.0,510.0,1197.0,488.0,3.0149,218400.0,NEAR BAY,204.3433969354322
162,52.0,2513.0,502.0,1048.0,518.0,3.675,269900.0,NEAR BAY,203.8421722663407
163,46.0,3232.0,835.0,1373.0,747.0,3.225,218800.0,NEAR BAY,204.67885578719654
164,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225000.0,NEAR BAY,204.3433969354322
165,43.0,2364.0,792.0,1359.0,722.0,2.1429,250000.0,NEAR BAY,204.3433969354322
166,41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0,NEAR BAY,204.3433969354322
167,29.0,2468.0,864.0,1335.0,773.0,1.3929,193800.0,NEAR BAY,204.3433969354322
168,27.0,1632.0,492.0,1171.0,429.0,2.3173,125000.0,NEAR BAY,203.17379465788116
169,45.0,1786.0,526.0,1475.0,460.0,1.7772,97500.0,NEAR BAY,204.0134452090657
170,50.0,629.0,188.0,742.0,196.0,2.6458,125000.0,NEAR BAY,204.0134452090657
171,52.0,1339.0,391.0,1086.0,363.0,2.181,138800.0,NEAR BAY,204.0134452090657
172,36.0,1678.0,606.0,1645.0,543.0,2.2303,116700.0,NEAR BAY,204.3433969354322
173,43.0,2344.0,647.0,1710.0,644.0,1.6504,151800.0,NEAR BAY,204.3433969354322
174,52.0,996.0,228.0,731.0,228.0,2.2697,127000.0,NEAR BAY,203.5052209806242
175,52.0,1591.0,373.0,1118.0,347.0,2.1563,128600.0,NEAR BAY,203.5052209806242
176,52.0,1586.0,398.0,1006.0,335.0,2.1348,140600.0,NEAR BAY,203.5052209806242
177,47.0,2046.0,588.0,1213.0,554.0,2.6292,182700.0,NEAR BAY,203.5052209806242
178,52.0,1192.0,289.0,772.0,257.0,2.3833,146900.0,NEAR BAY,202.66741580820187
179,52.0,1803.0,420.0,1321.0,401.0,2.957,122800.0,NEAR BAY,203.5052209806242
180,49.0,2838.0,749.0,1487.0,677.0,2.5238,169300.0,NEAR BAY,203.5052209806242
181,52.0,783.0,184.0,488.0,186.0,1.9375,126600.0,NEAR BAY,202.66741580820187
182,51.0,1590.0,414.0,949.0,392.0,1.9028,127900.0,NEAR BAY,202.66741580820187
183,50.0,1746.0,480.0,1149.0,415.0,2.25,123500.0,NEAR BAY,202.66741580820187
184,52.0,1252.0,299.0,844.0,280.0,2.3929,111900.0,NEAR BAY,202.66741580820187
185,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0,NEAR BAY,202.33450378964702
186,52.0,1783.0,395.0,1659.0,412.0,2.9357,107900.0,NEAR BAY,202.33450378964702
187,30.0,999.0,264.0,1011.0,263.0,1.8854,137500.0,NEAR BAY,202.33450378964702
188,39.0,1469.0,431.0,1464.0,389.0,2.1638,105500.0,NEAR BAY,203.17379465788116
189,47.0,1372.0,395.0,1237.0,303.0,2.125,95500.0,NEAR BAY,203.17379465788116
190,52.0,674.0,180.0,647.0,168.0,3.375,116100.0,NEAR BAY,203.17379465788116
191,43.0,1626.0,376.0,1284.0,357.0,2.2542,112200.0,NEAR BAY,203.17379465788116
192,51.0,175.0,43.0,228.0,55.0,2.1,75000.0,NEAR BAY,204.0134452090657
193,39.0,461.0,129.0,381.0,123.0,1.6,112500.0,NEAR BAY,204.0134452090657
194,52.0,902.0,237.0,846.0,227.0,3.625,125000.0,NEAR BAY,204.0134452090657
195,20.0,2373.0,779.0,1659.0,676.0,1.6929,115000.0,NEAR BAY,205.18193911921338
196,52.0,391.0,128.0,520.0,138.0,1.6471,95000.0,NEAR BAY,200.84355250326007
197,52.0,1137.0,301.0,866.0,259.0,2.59,96400.0,NEAR BAY,200.84355250326007
198,52.0,769.0,206.0,612.0,183.0,2.57,72000.0,NEAR BAY,201.6854177256999
199,52.0,472.0,146.0,415.0,126.0,2.6429,71300.0,NEAR BAY,202.00716205472847
200,52.0,862.0,215.0,994.0,213.0,3.0257,80800.0,NEAR BAY,202.00716205472847
201,50.0,1920.0,530.0,1525.0,477.0,1.4886,128800.0,NEAR BAY,201.16675677808982
202,43.0,1420.0,472.0,1506.0,438.0,1.9338,112500.0,NEAR BAY,202.00716205472847
203,52.0,986.0,258.0,1008.0,255.0,1.4844,119400.0,NEAR BAY,202.00716205472847
204,44.0,2340.0,825.0,2813.0,751.0,1.6009,118100.0,NEAR BAY,202.00716205472847
205,48.0,1696.0,396.0,1481.0,343.0,2.0375,122500.0,NEAR BAY,202.33450378964702
206,49.0,1175.0,217.0,859.0,219.0,2.293,106300.0,NEAR BAY,202.33450378964702
207,37.0,2343.0,574.0,1608.0,523.0,2.1494,132500.0,NEAR BAY,201.49557710838351
208,30.0,610.0,145.0,425.0,140.0,1.6198,122700.0,NEAR BAY,202.33450378964702
209,40.0,930.0,199.0,564.0,184.0,1.3281,113300.0,NEAR BAY,202.33450378964702
210,44.0,1487.0,314.0,961.0,272.0,3.5156,109500.0,NEAR BAY,201.49557710838351
211,52.0,3424.0,690.0,2273.0,685.0,3.9048,164700.0,NEAR BAY,201.49557710838351
212,52.0,762.0,190.0,600.0,195.0,3.0893,125000.0,NEAR BAY,200.65701919154176
213,46.0,2366.0,575.0,1647.0,527.0,2.6042,124700.0,NEAR BAY,201.49557710838351
214,49.0,1826.0,450.0,1201.0,424.0,2.5,136700.0,NEAR BAY,201.49557710838351
215,38.0,3049.0,711.0,2167.0,659.0,2.7969,141700.0,NEAR BAY,201.49557710838351
216,29.0,1640.0,376.0,939.0,340.0,2.8321,150000.0,NEAR BAY,199.8188346914161
217,47.0,1543.0,307.0,859.0,292.0,2.9583,138800.0,NEAR BAY,200.65701919154176
218,34.0,2364.0,557.0,1517.0,516.0,2.8365,139200.0,NEAR BAY,200.65701919154176
219,35.0,1745.0,409.0,1143.0,386.0,2.875,143800.0,NEAR BAY,200.65701919154176
220,39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0,NEAR BAY,200.99293639324804
221,39.0,2018.0,447.0,1221.0,446.0,3.0757,151000.0,NEAR BAY,200.99293639324804
222,43.0,3045.0,499.0,1115.0,455.0,4.9559,273000.0,NEAR BAY,200.1562716309981
223,52.0,1547.0,293.0,706.0,268.0,4.7721,217100.0,NEAR BAY,200.1562716309981
224,52.0,3519.0,711.0,1883.0,706.0,3.4861,187100.0,NEAR BAY,200.99293639324804
225,41.0,2070.0,354.0,804.0,340.0,5.1184,239600.0,NEAR BAY,200.1562716309981
226,48.0,1321.0,263.0,506.0,252.0,4.0977,229700.0,NEAR BAY,200.99293639324804
227,48.0,1694.0,259.0,610.0,238.0,4.744,257300.0,NEAR BAY,199.31999661473554
228,46.0,1938.0,341.0,768.0,332.0,4.2727,246900.0,NEAR BAY,199.31999661473554
229,50.0,968.0,195.0,462.0,184.0,2.9844,179900.0,NEAR BAY,198.98102833631748
230,40.0,1060.0,256.0,667.0,235.0,4.1739,169600.0,NEAR BAY,199.8188346914161
231,46.0,2041.0,405.0,1059.0,399.0,3.8487,203300.0,NEAR BAY,200.1562716309981
232,52.0,1813.0,271.0,637.0,277.0,4.0114,263400.0,NEAR BAY,199.31999661473554
233,45.0,2718.0,451.0,1106.0,454.0,4.6563,231800.0,NEAR BAY,198.98102833631748
234,28.0,3144.0,761.0,1737.0,669.0,2.9297,140500.0,NEAR BAY,198.98102833631748
235,35.0,1802.0,459.0,1009.0,390.0,2.3036,126000.0,NEAR BAY,199.8188346914161
236,49.0,882.0,195.0,737.0,210.0,2.6667,122000.0,NEAR BAY,199.8188346914161
237,44.0,1621.0,452.0,1354.0,491.0,2.619,134700.0,NEAR BAY,199.8188346914161
238,45.0,2115.0,533.0,1530.0,474.0,2.4167,139400.0,NEAR BAY,200.65701919154176
239,45.0,2021.0,528.0,1410.0,480.0,2.7788,115400.0,NEAR BAY,199.8188346914161
240,46.0,2239.0,508.0,1390.0,569.0,2.7352,137300.0,NEAR BAY,200.32670900233921
241,52.0,1477.0,300.0,1065.0,269.0,1.8472,137000.0,NEAR BAY,200.32670900233921
242,52.0,1056.0,224.0,792.0,245.0,2.6583,142600.0,NEAR BAY,200.32670900233921
243,49.0,898.0,244.0,779.0,245.0,3.0536,137500.0,NEAR BAY,200.32670900233921
244,44.0,2968.0,710.0,2269.0,610.0,2.3906,111700.0,NEAR BAY,201.16675677808982
245,43.0,1702.0,460.0,1227.0,407.0,1.7188,126800.0,NEAR BAY,200.32670900233921
246,47.0,881.0,248.0,753.0,241.0,2.625,111300.0,NEAR BAY,200.32670900233921
247,40.0,494.0,114.0,547.0,135.0,2.8015,114800.0,NEAR BAY,200.84355250326007
248,50.0,1776.0,473.0,1807.0,440.0,1.7276,102300.0,NEAR BAY,201.16675677808982
249,44.0,1678.0,514.0,1700.0,495.0,2.0801,131900.0,NEAR BAY,201.16675677808982
250,51.0,1637.0,463.0,1543.0,393.0,2.489,119100.0,NEAR BAY,201.16675677808982
251,52.0,1420.0,314.0,1085.0,300.0,1.7546,80600.0,NEAR BAY,199.68302048880403
252,52.0,591.0,173.0,353.0,137.0,4.0904,80600.0,NEAR BAY,200.00203360617212
253,52.0,745.0,153.0,473.0,149.0,2.6765,88800.0,NEAR BAY,200.00203360617212
254,49.0,2272.0,498.0,1621.0,483.0,2.4338,102400.0,NEAR BAY,199.16086543414747
255,46.0,1234.0,375.0,1183.0,354.0,2.3309,98700.0,NEAR BAY,200.00203360617212
256,43.0,1017.0,328.0,836.0,277.0,2.2604,100000.0,NEAR BAY,200.00203360617212
257,42.0,932.0,254.0,900.0,263.0,1.8039,92300.0,NEAR BAY,198.32005245945405
258,39.0,2689.0,597.0,1888.0,537.0,2.2562,94800.0,NEAR BAY,199.16086543414747
259,41.0,1547.0,415.0,1024.0,341.0,2.0562,102000.0,NEAR BAY,199.16086543414747
260,52.0,2300.0,443.0,1225.0,423.0,3.5398,158400.0,NEAR BAY,199.48702325342853
261,39.0,1752.0,399.0,1071.0,376.0,3.1167,121600.0,NEAR BAY,199.48702325342853
262,50.0,1867.0,403.0,1128.0,378.0,2.5401,129100.0,NEAR BAY,199.48702325342853
263,43.0,2430.0,502.0,1537.0,484.0,2.898,121400.0,NEAR BAY,199.16086543414747
264,44.0,1729.0,414.0,1240.0,393.0,2.3125,102800.0,NEAR BAY,200.32670900233921
265,52.0,1026.0,180.0,469.0,168.0,2.875,160000.0,NEAR BAY,198.6477041316743
266,52.0,2170.0,428.0,1086.0,425.0,3.3715,143900.0,NEAR BAY,198.32005245945405
267,52.0,2329.0,445.0,1144.0,417.0,3.5114,151200.0,NEAR BAY,198.32005245945405
268,52.0,2492.0,415.0,1109.0,375.0,4.3125,164400.0,NEAR BAY,198.6477041316743
269,52.0,2198.0,397.0,984.0,369.0,3.22,156500.0,NEAR BAY,198.6477041316743
270,33.0,142.0,31.0,575.0,47.0,3.875,225000.0,NEAR BAY,197.80875631357046
271,49.0,1183.0,205.0,496.0,209.0,5.2328,174200.0,NEAR BAY,198.6477041316743
272,52.0,1070.0,193.0,555.0,190.0,3.7262,166900.0,NEAR BAY,198.6477041316743
273,45.0,1766.0,332.0,869.0,327.0,4.5893,163500.0,NEAR BAY,199.48702325342853
274,39.0,617.0,95.0,236.0,106.0,5.2578,253000.0,NEAR BAY,198.14360493259167
275,41.0,1411.0,233.0,626.0,214.0,7.0875,240700.0,NEAR BAY,198.14360493259167
276,46.0,2109.0,387.0,922.0,329.0,3.9712,208100.0,NEAR BAY,198.14360493259167
277,47.0,1229.0,243.0,582.0,256.0,2.9514,198100.0,NEAR BAY,198.98102833631748
278,50.0,954.0,217.0,546.0,201.0,2.6667,172800.0,NEAR BAY,198.98102833631748
279,37.0,1643.0,262.0,620.0,266.0,5.4446,336700.0,NEAR BAY,198.83026126313885
280,34.0,1355.0,195.0,442.0,195.0,6.2838,318200.0,NEAR BAY,198.4841162803117
281,23.0,2317.0,336.0,955.0,328.0,6.7527,285800.0,NEAR BAY,198.4841162803117
282,24.0,2459.0,317.0,916.0,324.0,7.0712,293000.0,NEAR BAY,193.2828937500776
